127.0.0.1, 2015-10-01 19:25:16, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.005000

127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:26, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:25:27, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:27, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:27, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:25:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.103000
127.0.0.1, 2015-10-01 19:25:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:25:31, GET, /admin/default/site, HTTP/1.1, 200, 0.656000
127.0.0.1, 2015-10-01 19:25:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-01 19:25:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-01 19:25:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.091000
127.0.0.1, 2015-10-01 19:25:38, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-01 19:25:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2015-10-01 19:25:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:27:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.090000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:31:19, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:31:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:31:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:23, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-10-01 19:31:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-10-01 19:31:23, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:28, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.097000
127.0.0.1, 2015-10-01 19:31:28, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:31:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2015-10-01 19:34:09, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:34:10, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:34:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 19:34:17, GET, /admin/default/site, HTTP/1.1, 303, 0.132000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/default/index, HTTP/1.1, 200, 0.130000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.032000

127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.038000

127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.084000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.104000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.053000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.066000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.052000
127.0.0.1, 2015-10-01 19:34:18, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-10-01 19:34:20, POST, /admin/default/index, HTTP/1.1, 303, 0.257000
127.0.0.1, 2015-10-01 19:34:21, GET, /admin/default/site, HTTP/1.1, 200, 0.121000
127.0.0.1, 2015-10-01 19:34:21, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:21, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:21, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.534000
127.0.0.1, 2015-10-01 19:34:31, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.376000
127.0.0.1, 2015-10-01 19:34:31, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:31, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:31, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:31, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:34:37, GET, /admin/default/site, HTTP/1.1, 200, 0.081000
127.0.0.1, 2015-10-01 19:34:53, POST, /admin/default/site, HTTP/1.1, 303, 0.436000
127.0.0.1, 2015-10-01 19:34:53, GET, /admin/default/design/Praxyk, HTTP/1.1, 200, 0.277000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk, HTTP/1.1, 200, 0.805000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 19:35:05, GET, /Praxyk/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-01 19:36:48, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:37:54, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /, HTTP/1.1, 200, 0.066000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.011000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:52:07, GET, /, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-10-01 19:52:37, GET, /, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-10-01 19:53:27, GET, /helloWorld/default/index, HTTP/1.1, 404, 0.029000
127.0.0.1, 2015-10-01 20:01:22, GET, /, HTTP/1.1, 500, 0.235000
127.0.0.1, 2015-10-01 20:01:24, GET, /admin/default/ticket/Praxyk/127.0.0.1.2015-10-01.20-01-22.eeda7900-7f48-4d7f-8b8a-436ee1bb07fc, HTTP/1.1, 200, 0.189000
127.0.0.1, 2015-10-01 20:03:31, GET, /admin, HTTP/1.1, 303, 0.015000
127.0.0.1, 2015-10-01 20:03:31, GET, /admin/site, HTTP/1.1, 200, 0.128000
127.0.0.1, 2015-10-01 20:03:37, GET, /, HTTP/1.1, 500, 0.031000
127.0.0.1, 2015-10-01 20:03:39, GET, /admin/site, HTTP/1.1, 200, 0.101000
127.0.0.1, 2015-10-01 20:03:48, GET, /admin/design/Praxyk, HTTP/1.1, 200, 0.217000
127.0.0.1, 2015-10-01 20:04:25, POST, /admin/design/Praxyk, HTTP/1.1, 303, 0.194000
127.0.0.1, 2015-10-01 20:04:25, GET, /admin/design/Praxyk, HTTP/1.1, 200, 0.222000
127.0.0.1, 2015-10-01 20:04:33, GET, /, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 20:06:22, GET, /, HTTP/1.1, 200, 0.053000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:06:22, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /, HTTP/1.1, 200, 0.036000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:07:06, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:16, GET, /, HTTP/1.1, 200, 0.041000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:16, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:35, GET, /, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:08:35, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-10-01 20:09:17, GET, /, HTTP/1.1, 200, 0.103000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:09:17, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:10:16, GET, /ser, HTTP/1.1, 404, 0.024000
127.0.0.1, 2015-10-01 20:10:19, GET, /user, HTTP/1.1, 303, 0.076000
